,0,C,Double,Triple,Bracket,Cyclic,Predict,Error
0,iterration,,,,,,,
1,1,,,,,,,
1677,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1681,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
1682,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1652,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1627,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
1738,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
1740,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
1795,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
1797,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
1799,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
1801,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
1814,,7.0,1.0,0.0,3.0,1.0,351.05,0.0
1823,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
1825,,7.0,0.0,0.0,3.0,0.0,353.95,0.0
