,0,CRe,DoubleCCRe,TripleCC,Bracket,Benzene,CycleRe,SingleCO,DoubleCO,Predict_LogS,Predict_LogP,Predict_Hansen_Polarity,Predict_Hansen_dis,Predict_Hansen_H_bond,error
0,iterration,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,
236,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
214,,10.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
8755,,10.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,-1.85,0.31,4.1,15.6,11.0,0.13999999999999915
42,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
7478,,10.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,-1.85,0.31,4.1,15.6,11.0,0.13999999999999915
330,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
322,,10.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,-1.85,0.31,4.1,15.6,11.0,0.13999999999999915
224,,10.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
228,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
226,,10.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
89,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
2134,,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-3.497499999999995,2.08,20.1,18.6,16.6,0.16666666666664795
3784,,11.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,-3.497499999999995,2.08,20.1,18.6,16.6,0.16666666666664795
4534,,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-3.497499999999995,2.08,20.1,18.6,16.6,0.16666666666664795
5234,,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-3.497499999999995,2.08,20.1,18.6,16.6,0.16666666666664795
310,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
266,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
297,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
295,,10.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
264,,10.0,0.0,0.0,3.0,0.0,0.0,9.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
285,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4545,,10.0,0.0,1.0,3.0,0.0,0.0,7.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4833,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
4831,,10.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
256,,10.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
5307,,10.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
244,,10.0,0.0,0.0,3.0,0.0,0.0,8.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
